SIGLA,ASIGNATURA,ID_SUBAREA
IND548,TÓPICOS AVANZADOS EN OPTIMIZACIÓN,18.0
ISC505,COMPLEJIDAD EN CIENCIAS SOCIALES,18.0
DIIIO07,APRENDIZAJE AUTOMÁTICO,18.0
ISC506,COMPLEJIDAD EN FÍSICA Y MATEMÁTICAS,18.0
ISC507,MÉTODOS ESTADÍSTICOS Y COMPUTACIONALES,18.0
ISC508,SISTEMAS BIOLÓGICOS,18.0
ISC509,TEORÍA DE DECISIONES,18.0
ISC510,TALLER DE MODELAMIENTO EN FÍSICA Y MATEMÁTICAS,18.0
ISC520,TÓPICOS APLICADOS EN SISTEMAS BIOLÓGICOS,18.0
ACCT432,CONTABILIDAD Y PLANIFICACIÓN FINANCIERA,17.0
DIS421,DISEÑO E INNOVACIÓN DE PROTOTIPOS,17.0
DIS428,NARRATIVA DE PROPUESTA DE VALOR,17.0
DIS823,TALLER DE DISEÑO E INNOVACIÓN,17.0
DTD001,ESTRATEGIA E IMPLEMENTACIÓN DE LA TRANSFORMACIÓN DIGITAL,17.0
DTD002,IMPLEMENTANDO INDUSTRIAS Y CIUDADES INTELIGENTES,17.0
DTD003,GESTIÓN ORGANIZACIONAL PARA LA TRANSFORMACIÓN  DIGITAL,17.0
DTD004,GESTIÓN Y EJECUCIÓN ÁGIL DE PROCESOS,17.0
DTD005,BIG DATA Y ANALÍTICA AVANZADA,17.0
DTD006,INTERNET DE LAS COSAS,17.0
ECO470,ECONOMÍA DE LA INNOVACIÓN,17.0
ECO472,ORGANIZACIÓN INDUSTRIAL,17.0
ECO474,PROJECT MANAGEMENT I,17.0
ECO476,PROJECT MANAGEMENT II,17.0
ECO477,PROJECT MANAGEMENT III,17.0
ECO478,PROJECT MANAGEMENT IV,17.0
ECO482,EVALUACIÓN ECONÓMICA Y DISTRIBUTIVA,17.0
ECO483,TÓPICOS ESPECIALES DE EVALUACIÓN,17.0
ECO484,ANÁLISIS DE RIESGO,17.0
EST421,ESTADÍSTICA Y ANÁLISIS DE DATOS,17.0
EST506,ESTADÍSTICA PARA CIENCIA DE DATOS,17.0
EYM405,ECONOMÍA DE LOS MERCADOS DE ENERGÍA,17.0
EYM406,POLÍTICA DE ENERGÍA Y REGULACIÓN,17.0
EYM407,INTRODUCCIÓN A LA ENERGÍA SOSTENIBLE,17.0
EYM408,TECNOLOGÍAS DE ENERGÍAS RENOVABLES,17.0
EYM409,REDES DE DISTRIBUCIÓN ELÉCTRICA INTELIGENTES,17.0
EYM410,MODELOS DE NEGOCIOS PARA ENERGÍA RENOVABLES,17.0
EYM411,EVALUACIÓN DE PROYECTOS ENERGÍAS RENOVABLES,17.0
EYM412,PROJECT MANAGEMENT,17.0
EYM413,GESTIÓN ENERGÉTICA,17.0
EYM414,TENDENCIAS EN ENERGÍAS RENOVABLES ,17.0
FIN411,VENTURE CAPITAL Y VALORIZACIÓN DE NEGOCIOS TENOLÓGICOS,17.0
FIN414,EVALUACION FINANCIERA,17.0
FIN892,ENERGY FINANCE,17.0
IGE550,TALLER DE INNOVACIÓN Y EMPRENDIMIENTO TECNOLÓGICO,17.0
ING429,ANALÍTICA PRESCRIPTIVA Y OPTIMIZACIÓN,17.0
ING454,PROSPECTIVA DE INNOVACIÓN TECNOLÓGICA,17.0
ING463,GESTION DE ACTIVOS INTANGIBLES,17.0
ING464,EVALUACION Y FINANCIAMIENTO DE PROYECTOS TECNOLOGICOS,17.0
ING531,PREPARACIÓN DEL PROYECTO,17.0
ING532,GESTIÓN DE OPERACIONES Y LOGÍSTICA,17.0
ING533,MODELAMIENTO Y OPTIMIZACIÓN,17.0
ING538,MODELAMIENTO PREDICTIVO,17.0
MCS001,IMPLEMENTACIÓN Y GESTIÓN DE UN SISTEMA DE CYBER DEFENSE,17.0
MCS002,IMPLEMENTACIÓN Y GESTIÓN DE UN PROGRAMA DE SEGURIDAD DE LA INFORMACIÓN,17.0
MCS003,"CYBER RISK, RESPUESTA ANTE INCIDENTES Y RECUPERACIÓN ANTE CRISIS",17.0
MCS004,PROGRAMACIÓN SEGURA Y  METODOLOGÍAS ÁGILES,17.0
MCS005,LIDERAZGO Y COMUNICACIÓN EFECTIVA,17.0
MCS006,CRIPTOGRAFÍA Y BLOCKCHAIN,17.0
MCS007,SEGURIDAD DE REDES DE DATOS,17.0
MCS012,MODELAMIENTO PREDICTIVO PARA CIENCIAS DE DATOS,17.0
MCS014,PRIVACIDAD DE DATOS EN LA ERA DIGITAL,17.0
MDS100,GESTIÓN DE DATOS,17.0
MDS103,VISUALIZACIÓN DE DATOS,17.0
MDS104,MACHINE LEARNING,17.0
MDS105,ANALÍTICA TEXTUAL,17.0
MDS106,GENERACIÓN DE VALOR PARA NEGOCIO,17.0
MDS107,CAPTURA Y ALMACENAMIENTO DE DATOS,17.0
MDS114,ÉTICA DE LOS DATOS,17.0
MGET01,GESTIÓN DE INNOVACIÓN CORPORATIVA,17.0
MGT860,EMPRENDIMIENTO TECNOLÓGICO,17.0
MGT862,TALLER DE HABILIDADES DIRECTIVAS,17.0
MGT864,COMPETENCIAS PARA EL LIDERAZGO,17.0
MGT865,MODELOS Y PLAN DE NEGOCIO,17.0
MGT882,ESTRATEGIA COMPETITIVA,17.0
MGT883,TALLER DE HABILIDADES RELACIONALES,17.0
MGT884,TENDENCIAS TECNOLÓGICAS,17.0
MGT889,GESTIÓN ESTRATÉGICA,17.0
MGT895,AMBITO DE COMPETENCIAS DE NEGOCIOS Y CONTEXTUALES,17.0
MGT965,MAJOR CASES,17.0
MIN462,GEOLOGÍA ECONÓMICA Y EXPLORACIONES,17.0
MIN463,MÉTODOS DE MINADO Y GEOMECÁNICA,17.0
MIN464,PLANIFICACIÓN MINERA: ,17.0
MIN465,DESARROLLO Y GESTIÓN DE PROYECTOS MINEROS,17.0
MIN466,SUSTENTABILIDAD MINERA,17.0
MRE01,TALLER DE INVESTIGACIÓN APLICADA,17.0
TGA001,PLANIFICACIÓN Y GESTIÓN DE LOS RECURSOS HÍDRICOS,17.0
TGA002,CAPTACIÓN Y TRATAMIENTO,17.0
TGA007,HABILIDADES DIRECTIVAS,17.0
TGA008,PLANIFICACIÓN ESTRATÉGICA,17.0
TICS414,INTRODUCCIÓN A LA IA Y CIENCIAS COGNITIVAS,17.0
TICS415,TÉCNICAS DE BÚSQUEDA Y HEURÍSTICAS,17.0
TICS417,REPRESENTACIÓN DE CONOCIMIENTOS,17.0
TICS418,PROCESAMIENTO DE LENGUAJE NATURAL,17.0
TICS419,APRENDIZAJE AUTOMÁTICO,17.0
TICS430,AGENTES INTELIGENTES,17.0
TICS450,ANALÍTICA TEXTUAL,17.0
TICS453,HERRAMIENTAS TECNOLÓGICAS PARA BIG DATA,17.0
TICS470,PROYECTO CAPSTONE,17.0
TICS471,SIMULACIÓN BASADA EN AGENTES,17.0
TICS472,APRENDIZAJE PROFUNDO - DEEP LEARNING,17.0
TICS473,OPTIMIZACIÓN METAHEURÍSTICA,17.0
TICS474,TÓPICOS EN INTELIGENCIA ARTIFICIAL,17.0
TICS475,PROGRAMACIÓN CON R,17.0
TICS476,PROGRAMACIÓN CON PYTHON,17.0
TICS566,TRANSFORMACIÓN DIGITAL,17.0
TICS569,VISIÓN ARTIFICIAL,17.0
TICS570,ROBÓTICA,17.0
TIJ001,PROGRAMACIÓN EN JAVA,17.0
TIW001,FUNDAMENTOS DE LA WEB Y FRONT END,17.0
